session_id,ordinary_count,positive_count,neutral_count,negative_count,positive_duration_sec,neutral_duration_sec,negative_duration_sec,emotion_duration_sec,total_net_sec,total_net_minutes,ordinary_duration_bins
1,177,23,23,23,465.889156,465.777203,465.756837,1397.423196,5413.370369,90.22283948333333,long;medium;short;very_long;very_short
2,177,24,24,24,465.806844,465.81104999999997,465.746193,1397.364087,5413.190438,90.21984063333333,long;medium;short;very_long;very_short
3,177,23,23,23,465.887702,465.820475,465.729025,1397.437202,5413.18218,90.219703,long;medium;short;very_long;very_short
4,177,24,24,24,465.905645,465.817154,465.741666,1397.464465,5413.447337,90.22412228333333,long;medium;short;very_long;very_short
5,177,23,23,23,465.847968,465.745866,465.770692,1397.364526,5413.189336,90.21982226666667,long;medium;short;very_long;very_short
6,177,23,23,23,465.76811,465.759652,465.737611,1397.265373,5413.149338,90.21915563333333,long;medium;short;very_long;very_short
7,176,24,24,24,465.791031,465.743217,465.711724,1397.245972,5407.978394,90.13297323333333,long;medium;short;very_long;very_short
8,177,23,23,23,465.868637,465.787849,465.739341,1397.395827,5413.540537,90.22567561666666,long;medium;short;very_long;very_short
9,177,23,23,23,465.804896,465.773783,465.781362,1397.360041,5413.528303,90.22547171666666,long;medium;short;very_long;very_short
10,176,23,23,23,465.836722,465.843994,465.799999,1397.480715,5407.987727,90.13312878333333,long;medium;short;very_long;very_short
11,177,23,23,23,465.840191,465.780079,465.756362,1397.376632,5413.536047,90.22560078333332,long;medium;short;very_long;very_short
12,177,23,23,23,465.846677,465.829436,465.789791,1397.465904,5413.534505,90.22557508333333,long;medium;short;very_long;very_short
13,177,24,24,24,465.868663,465.839048,465.726071,1397.433782,5413.356154,90.22260256666667,long;medium;short;very_long;very_short
14,176,23,23,23,465.828049,465.76009799999997,465.767036,1397.355183,5408.046355,90.13410591666667,long;medium;short;very_long;very_short
15,177,23,23,23,465.90488799999997,465.811173,465.766655,1397.482716,5413.261394,90.22102323333334,long;medium;short;very_long;very_short
16,176,24,24,24,465.804332,465.779639,465.756582,1397.340553,5407.977681,90.13296135,long;medium;short;very_long;very_short
17,177,23,23,23,465.757181,465.77567799999997,465.803976,1397.336835,5413.390496,90.22317493333334,long;medium;short;very_long;very_short
18,177,23,23,23,465.910363,465.809319,465.763015,1397.482697,5412.920366,90.21533943333334,long;medium;short;very_long;very_short
19,177,23,23,23,465.802674,465.765305,465.717083,1397.285062,5412.96282,90.21604699999999,long;medium;short;very_long;very_short
20,177,23,23,23,465.826175,465.832768,465.786841,1397.445784,5413.328187,90.22213645000001,long;medium;short;very_long;very_short
21,177,23,23,23,465.81627199999997,465.86325,465.740997,1397.420519,5412.916628,90.21527713333333,long;medium;short;very_long;very_short
22,177,23,23,23,465.898839,465.792334,465.744112,1397.435285,5413.362839,90.22271398333334,long;medium;short;very_long;very_short
23,176,23,23,23,465.888025,465.794325,465.793742,1397.476092,5408.005843,90.13343071666667,long;medium;short;very_long;very_short
24,176,23,23,23,465.854856,465.799868,465.739143,1397.393867,5408.054717,90.13424528333333,long;medium;short;very_long;very_short
25,177,23,23,23,465.863882,465.802399,465.798724,1397.465005,5413.542436,90.22570726666666,long;medium;short;very_long;very_short
26,176,23,23,23,465.847245,465.851316,465.716914,1397.415475,5408.044124,90.13406873333334,long;medium;short;very_long;very_short
27,177,23,23,23,465.803071,465.832828,465.745613,1397.381512,5412.927523,90.21545871666667,long;medium;short;very_long;very_short
28,177,24,24,24,465.898227,465.81302,465.763627,1397.474874,5413.136119,90.21893531666666,long;medium;short;very_long;very_short
29,177,24,24,24,465.91083199999997,465.79282,465.747798,1397.45145,5413.225083,90.22041805,long;medium;short;very_long;very_short
30,177,23,23,23,465.883144,465.769911,465.714043,1397.367098,5413.299742,90.22166236666666,long;medium;short;very_long;very_short
31,176,23,23,23,465.900249,465.853561,465.745701,1397.499511,5408.022296,90.13370493333333,long;medium;short;very_long;very_short
32,177,23,23,23,465.867899,465.766609,465.766011,1397.400519,5413.119044,90.21865073333333,long;medium;short;very_long;very_short
33,176,23,23,23,465.906689,465.80155,465.710339,1397.418578,5408.044032,90.13406719999999,long;medium;short;very_long;very_short
34,177,23,23,23,465.792341,465.8617,465.765805,1397.419846,5413.541259,90.22568765,long;medium;short;very_long;very_short
35,176,23,23,23,465.88289199999997,465.764791,465.799999,1397.447682,5408.111502,90.1351917,long;medium;short;very_long;very_short
36,177,23,23,23,465.786008,465.82568299999997,465.74136,1397.353051,5413.326606,90.2221101,long;medium;short;very_long;very_short
37,177,24,24,24,465.801226,465.752547,465.743683,1397.297456,5412.937709,90.21562848333333,long;medium;short;very_long;very_short
38,176,23,23,23,465.853582,465.803545,465.721405,1397.378532,5408.072257,90.13453761666666,long;medium;short;very_long;very_short
39,176,23,23,23,465.838256,465.856808,465.734056,1397.42912,5407.994132,90.13323553333333,long;medium;short;very_long;very_short
40,176,24,24,24,465.750872,465.78555,465.765057,1397.301479,5408.078507,90.13464178333334,long;medium;short;very_long;very_short
41,177,24,24,24,465.785984,465.765106,465.791258,1397.342348,5413.352563,90.22254271666667,long;medium;short;very_long;very_short
42,177,23,23,23,465.873062,465.786626,465.730688,1397.390376,5413.376422,90.22294036666668,long;medium;short;very_long;very_short
43,176,23,23,23,465.821219,465.82859099999996,465.756689,1397.406499,5408.015342,90.13358903333332,long;medium;short;very_long;very_short
44,176,23,23,23,465.842642,465.830514,465.757027,1397.430183,5408.070656,90.13451093333333,long;medium;short;very_long;very_short
45,176,24,24,24,465.866342,465.824879,465.747096,1397.438317,5407.983215,90.13305358333334,long;medium;short;very_long;very_short
