video_id,file_name,chunk_name,official_source_path,official_revision,original_label,three_class_label,duration_ffprobe,sha256,relative_selected_path,replacement_used,replacement_for
emotion:00000002.mp4,00000002.mp4,eMotions_chunk_000.parquet,datasets/Conna/eMotions/data/eMotions_chunk_000.parquet,bb97b7453720968aa6793bd962a8880a459acadc,Excitation,positive,26.866667,0d92cd033a3e7377c6cdec1a4cad02383525e1e5daacdfaaecd7589e08ec0cdc,positive/excitation/positive_excitation_0001_00000002.mp4,False,
emotion:00000004.mp4,00000004.mp4,eMotions_chunk_000.parquet,datasets/Conna/eMotions/data/eMotions_chunk_000.parquet,bb97b7453720968aa6793bd962a8880a459acadc,Excitation,positive,59.001995,e94cb91d06f89e4d222d9ab729ea77e058b52b1b6767f761c977150b2925016b,positive/excitation/positive_excitation_0002_00000004.mp4,False,
emotion:00000007.mp4,00000007.mp4,eMotions_chunk_000.parquet,datasets/Conna/eMotions/data/eMotions_chunk_000.parquet,bb97b7453720968aa6793bd962a8880a459acadc,Excitation,positive,14.482759,162fb51fc558e361588634aecdc8c9fcf842344299cd3ea3770f052420acbeb7,positive/excitation/positive_excitation_0003_00000007.mp4,False,
emotion:00000008.mp4,00000008.mp4,eMotions_chunk_000.parquet,datasets/Conna/eMotions/data/eMotions_chunk_000.parquet,bb97b7453720968aa6793bd962a8880a459acadc,Excitation,positive,55.103991,156d6160413a0dd5ebf36455fcc67baac741276b9d08a58f56cd0e1db19bad4e,positive/excitation/positive_excitation_0004_00000008.mp4,False,
emotion:00000009.mp4,00000009.mp4,eMotions_chunk_000.parquet,datasets/Conna/eMotions/data/eMotions_chunk_000.parquet,bb97b7453720968aa6793bd962a8880a459acadc,Excitation,positive,7.8,0245091eaca2fdf7331187b55f272ba8532fba3527f3561c34720ca60c5df8dd,positive/excitation/positive_excitation_0005_00000009.mp4,False,
emotion:00000012.mp4,00000012.mp4,eMotions_chunk_000.parquet,datasets/Conna/eMotions/data/eMotions_chunk_000.parquet,bb97b7453720968aa6793bd962a8880a459acadc,Excitation,positive,8.8,3f03e5eef8819009ddf614b021798b0ef4792108ca8af3bbe108bd71cb161ce6,positive/excitation/positive_excitation_0006_00000012.mp4,False,
emotion:00000018.mp4,00000018.mp4,eMotions_chunk_000.parquet,datasets/Conna/eMotions/data/eMotions_chunk_000.parquet,bb97b7453720968aa6793bd962a8880a459acadc,Excitation,positive,17.67,95610e7752046f67545a8d2432ecb8bd5ba40ccafd939db52835c1916409537e,positive/excitation/positive_excitation_0007_00000018.mp4,False,
emotion:00000026.mp4,00000026.mp4,eMotions_chunk_000.parquet,datasets/Conna/eMotions/data/eMotions_chunk_000.parquet,bb97b7453720968aa6793bd962a8880a459acadc,Excitation,positive,29.333333,d1a400b2efe3f1d5a7948d7bdfa5b3473e9669d70908d56dbaceb3ff260dd4c6,positive/excitation/positive_excitation_0008_00000026.mp4,False,
emotion:00000042.mp4,00000042.mp4,eMotions_chunk_000.parquet,datasets/Conna/eMotions/data/eMotions_chunk_000.parquet,bb97b7453720968aa6793bd962a8880a459acadc,Excitation,positive,32.206009,59bedaa99faba4782e6615086784207d34524639ae4f605b2f15e427d7fe862f,positive/excitation/positive_excitation_0009_00000042.mp4,False,
emotion:00000046.mp4,00000046.mp4,eMotions_chunk_000.parquet,datasets/Conna/eMotions/data/eMotions_chunk_000.parquet,bb97b7453720968aa6793bd962a8880a459acadc,Excitation,positive,7.686009,5c5aec6e96c596197de64e959ee13662ae9c257080843be3a140c050fa82c25a,positive/excitation/positive_excitation_0010_00000046.mp4,False,
