session_id,legacy_session_id,videos,net_video_minutes,min_video_seconds,max_video_seconds,very_short,short,medium,long,very_long
1,1,234,88.842883,5.756,59.953,47,47,47,46,47
2,1,234,88.9048,5.107,59.467,47,46,47,47,47
3,2,233,88.350833,5.874,59.628,47,47,46,47,46
4,2,234,88.912833,6.454,59.394,46,47,47,47,47
5,3,235,88.935467,5.919,59.42,47,47,47,47,47
6,3,233,88.81205,6.57,59.838,46,47,47,46,47
7,4,233,88.350433,5.826,59.674,47,47,46,47,46
8,4,234,88.912917,6.617,59.349,46,47,47,47,47
9,5,234,88.894183,5.618,59.467,47,46,47,47,47
10,5,234,88.853233,5.131,59.905,47,47,47,46,47
11,6,234,88.84855,5.154,59.86,47,47,47,46,47
12,6,234,88.898633,5.64,59.535,47,46,47,47,47
13,7,234,88.8476,5.129,59.931,47,47,47,46,47
14,7,234,88.89995,5.711,59.467,47,46,47,47,47
15,8,233,88.3504,6.524,59.327,46,47,47,47,46
16,8,234,88.912367,5.99,59.767,47,47,46,47,47
17,9,234,88.9105,5.756,59.628,47,47,46,47,47
18,9,234,88.91135,6.406,59.394,46,47,47,47,47
19,10,234,88.350633,5.525,59.327,47,47,47,47,46
20,10,234,88.91295,5.177,59.558,47,46,47,47,47
21,11,233,88.350067,6.594,59.418,46,47,47,47,46
22,11,234,88.913417,5.826,59.581,47,47,46,47,47
23,12,234,88.910267,5.572,59.558,47,46,47,47,47
24,12,234,88.837433,5.363,59.862,47,47,47,46,47
25,13,234,88.848617,5.388,59.887,47,47,47,46,47
26,13,234,88.89855,5.479,59.489,47,46,47,47,47
27,14,234,88.91145,6.592,59.327,46,47,47,47,47
28,14,233,88.350667,6.128,59.79,47,47,46,47,46
29,15,234,88.912517,5.758,59.674,47,47,46,47,47
30,15,233,88.35045,6.57,59.358,46,47,47,47,46
31,16,234,88.843283,5.479,59.976,47,47,47,46,47
32,16,234,88.9036,5.479,59.46,47,46,47,47,47
33,17,233,88.351133,6.129,59.631,47,47,46,47,46
34,17,234,88.911617,6.57,59.373,46,47,47,47,47
