protocol_version,random_seed,session_id,video_id,video_path,video_duration_sec,trial_type,original_label,three_class_label,sha256,duration_bucket,original_id,replacement_reason,has_audio
emotion-v1,20260912,1,emotion:00000173.mp4,emotion/neutral/neutral/neutral_neutral_0826_00000173.mp4,24.533333,emotion,Neutral,neutral,d97ee926c75c0013711d86bc7226cbf8ca4555c7070f18ae4202b2d4719a42d6,20-25,00000173.mp4,,True
emotion-v1,20260912,1,emotion:00000266.mp4,emotion/neutral/neutral/neutral_neutral_0842_00000266.mp4,14.313009,emotion,Neutral,neutral,5f6472b05aa937052595c954073bd41b0c7f83a04f3f3eb0209ff014db786026,10-15,00000266.mp4,,True
emotion-v1,20260912,1,emotion:00000408.mp4,emotion/positive/excitation/positive_excitation_0037_00000408.mp4,19.272993,emotion,Excitation,positive,d93b31328fd31119fcf8429c27d6612dca4d3cc8add7d48aa2b41d8b20cf88aa,15-20,00000408.mp4,,True
emotion-v1,20260912,1,emotion:00000589.mp4,emotion/positive/excitation/positive_excitation_0063_00000589.mp4,7.6,emotion,Excitation,positive,2b16b200880a48c1dbf5f303b8c714f184007da1e1b216fde38762ae1c019f33,5-10,00000589.mp4,,True
emotion-v1,20260912,1,emotion:00000721.mp4,emotion/positive/excitation/positive_excitation_0091_00000721.mp4,9.45,emotion,Excitation,positive,a301b56fd9642a3807b3ddd2229c180fe7b6e34af30dc78851c389520292af52,5-10,00000721.mp4,,True
emotion-v1,20260912,1,emotion:00001013.mp4,emotion/negative/tension/negative_tension_2470_00001013.mp4,8.366667,emotion,Tension,negative,a23836b96decaf052db204b2430801ea83b5e791f647d1b9395959cb5ecba0dd,5-10,00001013.mp4,,True
emotion-v1,20260912,1,emotion:00001025.mp4,emotion/neutral/neutral/neutral_neutral_1033_00001025.mp4,31.341132,emotion,Neutral,neutral,54a1bdf62ac95989c1959b7c8ea782087679ea6af8c9812af6242086642f09a2,30-40,00001025.mp4,,True
emotion-v1,20260912,1,emotion:00001104.mp4,emotion/neutral/neutral/neutral_neutral_1065_00001104.mp4,9.1,emotion,Neutral,neutral,96a0f899d751d6fdeb49e845705216084a9315ea5a0e57f7d2de85d62c0c8635,5-10,00001104.mp4,,True
emotion-v1,20260912,1,emotion:00001198.mp4,emotion/neutral/neutral/neutral_neutral_1112_00001198.mp4,19.969002,emotion,Neutral,neutral,b4219d7ee2eef26cb44b533a23b6a3739dc069f7e52048197680bb27b9fa0305,15-20,00001198.mp4,,True
emotion-v1,20260912,1,emotion:00001200.mp4,emotion/neutral/neutral/neutral_neutral_1113_00001200.mp4,17.5,emotion,Neutral,neutral,bbf642e58c3843728d9044ea873a58811720b2693f1e608eae80bd85b4b61d1d,15-20,00001200.mp4,,True
emotion-v1,20260912,1,emotion:00001235.mp4,emotion/neutral/neutral/neutral_neutral_1125_00001235.mp4,15.058824,emotion,Neutral,neutral,22521e651fb7169ebeb7485f9284d411cdecd1c170240bd6d32a4e61ffb33455,15-20,00001235.mp4,,True
emotion-v1,20260912,1,emotion:00001314.mp4,emotion/negative/tension/negative_tension_2484_00001314.mp4,15.066667,emotion,Tension,negative,59a2fb0860dba00aabac508243faa250fdf9cb7dd32601cf80243de46c0a4455,15-20,00001314.mp4,,True
emotion-v1,20260912,1,emotion:00001346.mp4,emotion/neutral/neutral/neutral_neutral_1166_00001346.mp4,32.433333,emotion,Neutral,neutral,0b5ac2080c3831202b528de21c5913e01edc3c7978572fb13ce9e3f0a3f3adad,30-40,00001346.mp4,,True
emotion-v1,20260912,1,emotion:00001415.mp4,emotion/neutral/neutral/neutral_neutral_1192_00001415.mp4,20.033333,emotion,Neutral,neutral,00fb25119b39ba9a176627f75c3594c4132d5e903f36945f94e01252b903b2ec,20-25,00001415.mp4,,True
emotion-v1,20260912,1,emotion:00001435.mp4,emotion/neutral/neutral/neutral_neutral_1199_00001435.mp4,60.0,emotion,Neutral,neutral,949b5f255c400d663332f027c42a3cea036670e45b0ce5f242298aa31c9c5542,50-60,00001435.mp4,,True
emotion-v1,20260912,1,emotion:00001452.mp4,emotion/negative/tension/negative_tension_2495_00001452.mp4,25.4,emotion,Tension,negative,388bfcba2131d67f36e81edc6b81eacb87d1688510fdae34f811726c9a20ec80,25-30,00001452.mp4,,True
